                Year               RCP26                 A1B
        1860.0000000           0.4029478           0.4029478
        1861.0000000           0.4149278           0.4149278
        1862.0000000           0.4209878           0.4209878
        1863.0000000           0.4319287           0.4319287
        1864.0000000           0.4435967           0.4435967
        1865.0000000           0.4545027           0.4545027
        1866.0000000           0.4590217           0.4590217
        1867.0000000           0.4686177           0.4686177
        1868.0000000           0.4752558           0.4752558
        1869.0000000           0.4839847           0.4839847
        1870.0000000           0.4916517           0.4916517
        1871.0000000           0.5068957           0.5068957
        1872.0000000           0.5278717           0.5278717
        1873.0000000           0.5423927           0.5423927
        1874.0000000           0.5329947           0.5329947
        1875.0000000           0.5499557           0.5499557
        1876.0000000           0.5556576           0.5556576
        1877.0000000           0.5606316           0.5606316
        1878.0000000           0.5643466           0.5643466
        1879.0000000           0.5797746           0.5797746
        1880.0000000           0.6061667           0.6061667
        1881.0000000           0.6351396           0.6351396
        1882.0000000           0.6546146           0.6546146
        1883.0000000           0.6754376           0.6754376
        1884.0000000           0.6826516           0.6826516
        1885.0000000           0.6874166           0.6874166
        1886.0000000           0.6941886           0.6941886
        1887.0000000           0.7095115           0.7095115
        1888.0000000           0.7424285           0.7424285
        1889.0000000           0.7430446           0.7430446
        1890.0000000           0.7709945           0.7709945
        1891.0000000           0.7925915           0.7925915
        1892.0000000           0.7960255           0.7960255
        1893.0000000           0.7881935           0.7881935
        1894.0000000           0.8012006           0.8012006
        1895.0000000           0.8239765           0.8239765
        1896.0000000           0.8366826           0.8366826
        1897.0000000           0.8572975           0.8572975
        1898.0000000           0.8819336           0.8819336
        1899.0000000           0.9245974           0.9245974
        1900.0000000           0.9522694           0.9522694
        1901.0000000           1.0149924           1.0149924
        1902.0000000           1.0414804           1.0414804
        1903.0000000           1.1027493           1.1027493
        1904.0000000           1.1183243           1.1183243
        1905.0000000           1.1651713           1.1651713
        1906.0000000           1.2173113           1.2173113
        1907.0000000           1.2976782           1.2976782
        1908.0000000           1.2672544           1.2672544
        1909.0000000           1.3183051           1.3183051
        1910.0000000           1.3549782           1.3549782
        1911.0000000           1.3330313           1.3330313
        1912.0000000           1.3627892           1.3627892
        1913.0000000           1.4132270           1.4132270
        1914.0000000           1.3136282           1.3136282
        1915.0000000           1.2951882           1.2951882
        1916.0000000           1.3619741           1.3619741
        1917.0000000           1.4146180           1.4146180
        1918.0000000           1.3888222           1.3888222
        1919.0000000           1.2612292           1.2612292
        1920.0000000           1.3885942           1.3885942
        1921.0000000           1.2948881           1.2948881
        1922.0000000           1.3500882           1.3500882
        1923.0000000           1.4865531           1.4865531
        1924.0000000           1.4889320           1.4889320
        1925.0000000           1.5052401           1.5052401
        1926.0000000           1.5207911           1.5207911
        1927.0000000           1.6028423           1.6028423
        1928.0000000           1.6182349           1.6182349
        1929.0000000           1.6763109           1.6763109
        1930.0000000           1.5852998           1.5852998
        1931.0000000           1.4836980           1.4836980
        1932.0000000           1.4058223           1.4058223
        1933.0000000           1.4496442           1.4496442
        1934.0000000           1.5340760           1.5340760
        1935.0000000           1.7167987           1.7167987
        1936.0000000           1.8416419           1.8416419
        1937.0000000           1.9416329           1.9416329
        1938.0000000           1.8645438           1.8645438
        1939.0000000           1.8943096           1.8943096
        1940.0000000           2.0350947           2.0350947
        1941.0000000           2.0222309           2.0222309
        1942.0000000           2.0286388           2.0286388
        1943.0000000           2.0903256           2.0903256
        1944.0000000           2.1004355           2.1004355
        1945.0000000           1.9145176           1.9145176
        1946.0000000           2.0201077           2.0201077
        1947.0000000           2.2295303           2.2295303
        1948.0000000           2.3216002           2.3216002
        1949.0000000           2.2627656           2.2627656
        1950.0000000           2.1687772           2.1687772
        1951.0000000           2.4551008           2.4551008
        1952.0000000           2.5190384           2.5190384
        1953.0000000           2.5687714           2.5687714
        1954.0000000           2.6063602           2.6063602
        1955.0000000           2.8149972           2.8149972
        1956.0000000           2.9647870           2.9647870
        1957.0000000           3.0660226           3.0660226
        1958.0000000           3.1309390           3.1309390
        1959.0000000           3.2104692           3.2104692
        1960.0000000           3.3216510           3.3216510
        1961.0000000           3.4287999           3.4287999
        1962.0000000           3.5598340           3.5598340
        1963.0000000           3.7312725           3.7312725
        1964.0000000           3.9145236           3.9145236
        1965.0000000           4.0703382           4.0703382
        1966.0000000           4.2331543           4.2331543
        1967.0000000           4.3508081           4.3508081
        1968.0000000           4.5289540           4.5289540
        1969.0000000           4.7531838           4.7531838
        1970.0000000           5.0137005           5.0137005
        1971.0000000           5.1017585           5.1017585
        1972.0000000           5.2451611           5.2451611
        1973.0000000           5.4956346           5.4956346
        1974.0000000           5.5043759           5.5043759
        1975.0000000           5.4765515           5.4765515
        1976.0000000           5.8066006           5.8066006
        1977.0000000           5.9630032           5.9630032
        1978.0000000           6.0227838           6.0227838
        1979.0000000           6.3371801           6.3371801
        1980.0000000           6.2751446           6.2751446
        1981.0000000           6.0965304           6.0965304
        1982.0000000           6.0479150           6.0479150
        1983.0000000           6.0303006           6.0303006
        1984.0000000           6.1926856           6.1926856
        1985.0000000           6.3570704           6.3570704
        1986.0000000           6.5404553           6.5404553
        1987.0000000           6.6588402           6.6588402
        1988.0000000           6.8742266           6.8742266
        1989.0000000           6.9716105           6.9716105
        1990.0000000           6.9777575           6.9777575
        1991.0000000           7.1170120           7.0557842
        1992.0000000           7.2478943           7.1324363
        1993.0000000           7.3717313           7.2114792
        1994.0000000           7.4897432           7.2966318
        1995.0000000           7.6031318           7.3915148
        1996.0000000           7.7130179           7.4997215
        1997.0000000           7.8205004           7.6248646
        1998.0000000           7.9266667           7.7706380
        1999.0000000           8.0325556           7.9407682
        2000.0000000           7.8839998           8.1401463
        2001.0000000           8.1403990           8.3745403
        2002.0000000           8.3968000           8.6399317
        2003.0000000           8.6532011           8.9298983
        2004.0000000           8.9096003           9.2383146
        2005.0000000           9.1659994           9.5593071
        2006.0000000           9.3083982           9.8871555
        2007.0000000           9.4507999          10.2162790
        2008.0000000           9.5932007          10.5409975
        2009.0000000           9.7356005          10.8554430
        2010.0000000           9.8780022          11.1481924
        2011.0000000           9.9162006          11.3942738
        2012.0000000           9.9544010          11.5958529
        2013.0000000           9.9926004          11.7635145
        2014.0000000          10.0307999          11.9071550
        2015.0000000          10.0690012          12.0364418
        2016.0000000          10.1072006          12.1605854
        2017.0000000          10.1454010          12.2887430
        2018.0000000          10.1836014          12.4289989
        2019.0000000          10.2218008          12.5901709
        2020.0000000          10.2599993          12.7734232
        2021.0000000          10.0285997          12.9567575
        2022.0000000           9.7971992          13.1357069
        2023.0000000           9.5657997          13.3104277
        2024.0000000           9.3344002          13.4814634
        2025.0000000           9.1030006          13.6490517
        2026.0000000           8.8716011          13.8135443
        2027.0000000           8.6402006          13.9749613
        2028.0000000           8.4088001          14.1332798
        2029.0000000           8.1774015          14.2886066
        2030.0000000           7.9460001          14.4380941
        2031.0000000           7.6538014          14.5717049
        2032.0000000           7.3616009          14.6895494
        2033.0000000           7.0694008          14.7948618
        2034.0000000           6.7772002          14.8906450
        2035.0000000           6.4850006          14.9801388
        2036.0000000           6.1928005          15.0662270
        2037.0000000           5.9006000          15.1520348
        2038.0000000           5.6084008          15.2401276
        2039.0000000           5.3162003          15.3342037
        2040.0000000           5.0239997          15.4365845
        2041.0000000           4.8603001          15.5485296
        2042.0000000           4.6966004          15.6677790
        2043.0000000           4.5329003          15.7913218
        2044.0000000           4.3691998          15.9155941
        2045.0000000           4.2055001          16.0380535
        2046.0000000           4.0417995          16.1550751
        2047.0000000           3.8780997          16.2638187
        2048.0000000           3.7143996          16.3608971
        2049.0000000           3.5506999          16.4427414
        2050.0000000           3.3870006          16.5030842
        2051.0000000           3.2516999          16.5281448
        2052.0000000           3.1164000          16.5205669
        2053.0000000           2.9810998          16.4870472
        2054.0000000           2.8458002          16.4344597
        2055.0000000           2.7104998          16.3688354
        2056.0000000           2.5752003          16.2963448
        2057.0000000           2.4398997          16.2225170
        2058.0000000           2.3046000          16.1533489
        2059.0000000           2.1693001          16.0943680
        2060.0000000           2.0339997          16.0486050
        2061.0000000           1.8960001          16.0120239
